"","phase","id","instruction","pc2","fc2","pcs1","fcs1","pcfs12"
"1","pretest","abe","transfer",0.764699855916257,1.64988656505766,3.13284229201225,3.08838443560024,3.04127821627422
"2","pretest","alligator","transfer",1.37720396847569,1.00398945991899,3.19822126840116,2.25477061480449,2.59049719476692
"3","pretest","and","transfer",1.96518751206898,1.31374436901817,2.54369981870052,2.13111739919135,2.50519208234947
"4","pretest","baever","training",2.35691682786979,1.89022079042637,2.97957389674657,2.07973852802775,2.50519208234947
"5","pretest","bjorn","training",1.56751520346487,0.894211150626779,3.4763622808966,2.97957389674657,3.10696266171079
"6","pretest","canadagaas","transfer",1.58752101291335,1.42425086373901,2.38375770770968,1.952961835317,2.12950297937372
"7","pretest","chihuahua","transfer",0.796079305096826,0.82798115239542,3.36583210373949,3.27101271205218,2.92772929078506
"8","pretest","chimpanse","training",1.96518751206898,3.09875935488426,2.794718959866,3.91521640003001,3.17634933549397
"9","pretest","delfin","training",1.64988656505766,1.0427738888531,2.794718959866,2.5660109436579,2.61702663001505
"10","pretest","Desmerdyr","transfer",1.71502749755133,0.911322715277384,2.3281293732017,2.10093265352969,2.08079547042796
"11","pretest","Due","training",1.42425086373901,1.15342864786868,3.33850017315395,3.08941072954748,3.10696266171079
"12","pretest","Egern","training",1.37787607272133,1.10452819506444,2.25873317359339,1.66877727587143,2.4908641545454
"13","pretest","Elefant","transfer",1.14546063678562,1.18490659082055,2.99716822571845,2.97507783949404,3.38882064399867
"14","pretest","Emu","training",1.07008708498672,0.671247441771345,2.19214886341148,2.27481244249894,2.64154621768845
"15","pretest","Fisk","transfer",0.984274178224525,1.7601824244586,2.25855179516747,2.13453353774615,2.51837105007924
"16","pretest","Frø","training",1.39074105528229,1.55471177640184,2.19214886341148,2.01139988183274,1.5688163690316
"17","pretest","fugl ","transfer",0.361780488029995,1.05547648972858,2.13453353774615,1.90994769954157,2.16465195844837
"18","pretest","Giraf","training",1.91285493893432,1.40662321678678,2.42299281066192,2.39622011517172,2.39741809880654
"19","pretest","Gnu","training",0.965138895058789,0.683691471080443,2.25873317359339,2.41892766040544,2.51837105007924
"20","pretest","Gorilla","transfer",1.7109841157823,2.16080388071472,3.24511497509771,2.26292515515232,3.20663389798944
"21","pretest","Haj ","training",0.733612993915656,0.777931996929399,3.1638866624184,2.64254487864319,2.04793481773344
"22","pretest","Hest","transfer",1.34425766464247,0.353741293806696,3.53878045083195,3.13284229201225,2.9974239097443
"23","pretest","hyane","transfer",0.939626172323878,1.02296773520584,2.96360638474039,2.90455579266691,3.38882064399867
"24","pretest","Igle","training",1.7109841157823,1.56751520346487,3.61664118564939,2.56861264459025,2.66541466068006
"25","pretest","Insekt","training",1.47568322463287,1.32852495294834,2.22664270085069,2.79151034457676,2.54596270770658
"26","pretest","Isbjørn","training",2.07990509313317,1.69133403190033,3.4763622808966,3.0448346974197,3.19600232655875
"27","pretest","jaerv","training",1.31260584381055,1.77107281833884,3.81692146332739,2.4327159836385,3.53100596771937
"28","pretest","Jaguar","transfer",1.47587599298489,0.763244094794617,2.62492813137982,2.47430361909221,2.49233717340612
"29","pretest","jordbærdtærte-sommerfugl","transfer",1.2297911535781,0.60270633138583,2.71349064718669,2.33600536855987,2.57977296876752
"30","pretest","kalkun","transfer",2.28423105134628,1.24727214296486,3.67520147467369,3.56536464187277,3.02957997211839
"31","pretest","Koalabjørn","transfer",0.742168245633228,0.691466367786886,2.13929999911835,2.35498381230941,1.57374951538815
"32","pretest","kobra","training",2.4150072770014,2.1482518282317,4.40568373525533,4.20684454147824,4.07827662409555
"33","pretest","Lama","transfer",1.08832296339903,1.59528040171804,2.20011588822385,2.03818645789125,2.63260250526074
"34","pretest","Lemur","transfer",1.12104054312932,0.962024075583668,2.75948684283623,2.22029940880559,2.75774449895078
"35","pretest","Leopard","training",1.15342864786868,1.71502749755133,3.53878045083195,2.64254487864319,1.99775531441458
"36","pretest","mariehone","training",1.41186651583031,1.67862196460001,3.55380974056925,2.96360638474039,3.26417420416395
"37","pretest","Moskusokse","transfer",0.962024075583668,1.7601824244586,2.88771969056072,2.67584777645881,2.29444104300527
"38","pretest","mus","transfer",1.71502749755133,1.2069114167942,2.74038686865208,2.88771969056072,2.89251873976018
"39","pretest","næbdyr","transfer",-0.546197526864735,0.602352958141457,2.46781312452084,2.40670399180608,1.89914642799986
"40","pretest","naesehorn","transfer",1.36024070664147,1.92029960665323,2.74803593924158,3.08799996823872,2.53350131389627
"41","pretest","odder","transfer",0.508765154672822,0.683691471080443,2.19632161724073,2.8161266812116,2.51837105007924
"42","pretest","Orangutan","transfer",1.17767488285112,1.27112729699604,1.07440668634362,2.04007484168946,1.55564883087469
"43","pretest","Pandabjoern","training",1.18490659082055,0.409750634692855,2.3019856962124,2.13941336681059,1.62594009203074
"44","pretest","Pindsvin","training",1.69133403190033,1.17767488285112,2.38560594297815,1.86207319255194,2.24275415694909
"45","pretest","Pingvin","training",1.87783907387047,1.23261264471401,2.80978306826039,2.6222744373049,3.06153404767134
"46","pretest","rensdyr","training",1.32701092940337,1.97178125028497,2.99256338725947,2.71349064718669,2.48842240153206
"47","pretest","Rokke","transfer",1.79592628513288,1.31374436901817,2.26292515515232,1.8789674613701,1.66377846040539
"48","pretest","Stenbuk","transfer",0.763244094794617,0.190620557581752,1.8789674613701,2.24993326538517,2.4908641545454
"49","pretest","Tangloppe","transfer",0.433551861741675,0.803429615934643,2.15504969150158,2.27915326295409,2.54780449997814
"50","pretest","Tiger","training",1.73315644526693,1.31374436901817,3.81989299012912,2.63760395300701,2.33916610051443
"51","pretest","Torsk","transfer",0.640119690123604,1.02255969304575,2.63760395300701,2.41892766040544,2.29126697099912
"52","pretest","ugle","training",0.764699855916257,0.671220778196899,2.49792020168787,2.15871705550338,1.99775531441458
"53","posttest","abe","transfer",2.93988528074045,1.64017234235235,3.81692146332739,3.61664118564939,2.87171012232779
"54","posttest","alligator","transfer",1.42517411513855,1.16386555105074,3.61664118564939,3.42996991197827,2.79520924404366
"55","posttest","and","transfer",2.55567767972331,1.55009212910421,3.24511497509771,3.08941072954748,2.79520924404366
"56","posttest","baever","training",2.53925766462925,2.0400269110036,4.01576065710448,3.98203867957002,3.28416702081877
"57","posttest","bjorn","training",2.22649709088142,1.55471177640184,3.67520147467369,3.08838443560024,3.86897552294416
"58","posttest","canadagaas","transfer",2.23938816741447,2.66711085518376,3.63503805324856,2.4327159836385,2.745143690627
"59","posttest","chihuahua","transfer",1.79335547737509,0.848593493821003,3.19822126840116,2.36990671671003,3.53100596771937
"60","posttest","chimpanse","training",1.97641979353782,2.83900806639187,3.42996991197827,3.98727793413886,3.38140369819421
"61","posttest","delfin","training",2.26578048868702,1.47471857730531,2.97957389674657,3.21426486758853,2.37983900481407
"62","posttest","Desmerdyr","transfer",1.23498910772728,1.16689374720875,2.36990671671003,2.5811279700114,2.77444213167798
"63","posttest","Due","training",2.79065849242606,1.55471177640184,3.81692146332739,3.4763622808966,3.91878043824185
"64","posttest","Egern","training",1.02296773520584,0.881892211859018,3.08838443560024,2.40670399180608,2.15417571115065
"65","posttest","Elefant","transfer",1.79592628513288,1.20564316912028,4.20684454147824,3.33850017315395,3.0178422171911
"66","posttest","Emu","training",1.71502749755133,1.47568322463287,3.14940992098708,2.19214886341148,2.40700766652499
"67","posttest","Fisk","transfer",1.75935304760724,1.26464537725906,2.99716822571845,2.90455579266691,3.26443498268441
"68","posttest","Frø","training",1.47568322463287,1.26464537725906,2.26292515515232,2.40670399180608,2.17744081373008
"69","posttest","fugl ","transfer",1.97178125028497,1.36024070664147,2.02469670494524,2.19214886341148,1.841961074434
"70","posttest","Giraf","training",2.48766985623605,1.61427064894386,3.47414843199098,2.794718959866,2.73904180366696
"71","posttest","Gnu","training",1.56751520346487,0.853813265561686,3.21022581009258,2.3019856962124,2.75774449895078
"72","posttest","Gorilla","transfer",2.35691682786979,1.3951062899219,2.74038686865208,2.6222744373049,3.19600232655875
"73","posttest","Haj ","training",1.42425086373901,0.733612993915656,1.93348049506344,2.13549020542445,2.66661171599301
"74","posttest","Hest","transfer",2.23737136541946,1.22880219966759,3.22968963430027,2.96360638474039,2.67121405441972
"75","posttest","hyane","transfer",1.68814248901521,1.28652370417761,4.32259786200081,3.53878045083195,3.80137398610202
"76","posttest","Igle","training",2.50614361618417,1.71502749755133,4.71252094015166,2.88272655445855,3.28234347256506
"77","posttest","Insekt","training",2.07990509313317,1.50946749495585,3.22968963430027,3.01640695888961,2.53091001772405
"78","posttest","Isbjørn","training",1.94659473160714,1.55542201107139,3.19822126840116,3.42996991197827,3.26443498268441
"79","posttest","jaerv","training",0.796079305096826,1.05964773002343,3.53878045083195,2.88771969056072,2.9505628163907
"80","posttest","Jaguar","transfer",1.24623691264353,0.989879099433598,3.81548037942647,2.80330361543221,3.14207814071044
"81","posttest","jordbærdtærte-sommerfugl","transfer",0.965138895058789,1.0543283328214,3.12304865770674,2.55920656515823,2.8793473016621
"82","posttest","kalkun","transfer",2.93988528074045,2.45302217268692,4.05458396097108,4.71252094015166,3.72596212080192
"83","posttest","Koalabjørn","transfer",1.47047984172081,1.56035958948026,2.07420914876122,2.96360638474039,2.3805919858471
"84","posttest","kobra","training",4.0859709737082,1.87783907387047,3.53878045083195,4.40568373525533,3.70057406166579
"85","posttest","Lama","transfer",1.88981396027008,1.16689374720875,2.88835768686478,2.33498521606937,2.3805919858471
"86","posttest","Lemur","transfer",1.07008708498672,1.63195291113679,3.72304564784111,2.19352895554402,2.61565150263592
"87","posttest","Leopard","training",2.4150072770014,1.42035408531042,2.64254487864319,1.75412046023221,3.19117411897199
"88","posttest","mariehone","training",1.7601824244586,0.970534320378002,3.1638866624184,3.42996991197827,2.8793473016621
"89","posttest","Moskusokse","transfer",1.07008708498672,1.99991189403663,1.1187336706697,2.36990671671003,2.95215777175453
"90","posttest","mus","transfer",2.1784320504885,1.87829764672567,3.32410170038944,2.96360638474039,2.90598516486455
"91","posttest","næbdyr","transfer",1.47568322463287,1.32690167116551,2.99256338725947,2.53013454325945,2.33920480535548
"92","posttest","naesehorn","transfer",1.69133403190033,1.55542201107139,3.72304564784111,3.19822126840116,3.01381558054951
"93","posttest","odder","transfer",1.31036265952618,1.31374436901817,2.794718959866,2.63760395300701,2.67121405441972
"94","posttest","Orangutan","transfer",2.37985525015178,1.4934269756889,2.48537115035148,1.75488888976984,2.39628346212636
"95","posttest","Pandabjoern","training",1.56751520346487,1.28652370417761,2.67742318344392,2.00749224315738,2.2267834319304
"96","posttest","Pindsvin","training",1.55009212910421,0.970534320378002,2.8161266812116,2.64254487864319,2.31023608705781
"97","posttest","Pingvin","training",1.58752101291335,1.88981396027008,3.08941072954748,2.99716822571845,2.8319824378525
"98","posttest","rensdyr","training",1.65354415788353,1.23498910772728,3.53878045083195,3.33850017315395,3.41863529970619
"99","posttest","Rokke","transfer",1.71502749755133,0.801708354434184,2.44226460096518,2.02469670494524,2.35639587565799
"100","posttest","Stenbuk","transfer",1.2069114167942,0.653054835987799,2.74803593924158,2.30909082760452,2.47165572070136
"101","posttest","Tangloppe","transfer",1.36651690327415,1.28652370417761,3.56536464187277,2.35161795709251,2.85179658214528
"102","posttest","Tiger","training",1.6356105639834,1.7109841157823,3.4763622808966,2.82030273194173,2.90598516486455
"103","posttest","Torsk","transfer",1.12717263035569,0.974589546382887,3.1638866624184,3.22968963430027,2.23204737694706
"104","posttest","ugle","training",1.05547648972858,0.422804505440747,2.70350274998421,2.02235803492531,2.57656089068548
